date,cycle,subsystem,phase,net_score,prod_fixes,new_failure_modes,category_d_ratio,axis_b_lowest,notes,defensive_count
2026-06-11,1,broad,reflect,4,4,0,0.4,Sheets-Coercion & Timezone Integrity,"Cycle 1: A1-A9 + P1-P16 + KB feature run. Fired-in-prod fixes: punch append-order scrambling live status (A2); ?-key swallowed in contenteditable (A3); AuditLog ts coercion blanking the compliance panel; audit default end-date hiding IST rows from US-afternoon managers. New failure modes: 0 unintended (P12 draft TTL + A9 strictness are documented trade-offs). Tz/coercion was the dominant real-bug axis all cycle. Editor suite 233/233 green after triage; Node harness 73->89.",9
2026-06-11,2,broad,reflect,8,8,0,0.5,Test Coverage Quality,"Cycle 2: fresh broad scan (1 High, 9 Medium, ~20 Low) -> ENTIRE backlog implemented same-cycle. Fired-in-prod fixes: H1 Esc killed both email composers until reload; M7 intake Esc leaked a doc-level paste listener (silent PHI image accumulation); M1 TO.SUBMITTED_AT coercion flattened the pending-trend sparkline to zero since it shipped (3rd bite of the coercion class -> Node tripwire now bans raw reads); M2 Enter-on-Cancel confirmed destructive dialogs; M4 failed optimistic submit clobbered typed notes; M3 stranded-spinner refreshes; M5 CN config-fetch view clobber; L13 KB Save double-click duplicated rows. New failure modes shipped: 0 (one near-miss — refreshViewIfCurrent used manager instead of manage — caught in own regression check pre-deploy, converted to a registry tripwire). Axis-B lowest: Test Coverage Quality — every High/Medium client bug lived in the DOM/overlay/race layer no automated test sees; overlay lifecycle now centralized (ensureOverlay/closeOverlay). Editor suite green post-deploy (operator-run incl. publicForm_tokenLifecycle); Node 89->92.",13
2026-06-16,3,broad,reflect,0,0,0,0.9,Test Coverage Quality,"Cycle 3: fresh broad scan of a now-mature codebase (full Code.js read + 4 client sub-audits) found NO Critical/High — every finding was Low (defense-in-depth / consistency / PHI-hygiene / doc-drift). Implemented F1 (public-form null-res guard), F2 (esc CDR-boundary fields, metrics+CN — pins the documented invariant), F3 (drop intake patient-answer PHI from client memory on clear/send), F5 (guard err.message in train/empdocs handlers), F6 (bound the break-reminder dedupe map on day rollover), F7 (ambient-poll failure handler); F4 retracted (UTC date-math was correct on close read). Targeted audit of the two never-scanned subsystems: appsscript.json clean; script_tour.html T-1 (dead tour-root guard -> tour-block), T-2 (auto-start now gated on a deep-link landing — closed a doc/impl drift), T-4 (restore entry view on tour end); T-3 left (inherent+benign). HEADLINE is structural, not a fired-bug count: built the jsdom DOM-lifecycle harness (the highest-leverage gap flagged in cycles 1+2) — 36 DOM tests pinning innerHTML escape (F2 class proven to bite), overlay lifecycle (ensureOverlay/Esc), optimistic submit+revert (INV-48), _flagInFlight double-fire (INV-56), late-callback currentView guards, focus trap, + intake/training escape + the tour fixes. net=0 fired-bug fixes is honest (the codebase had no live bugs to fix this cycle); the value is the regression net + 9 defensive hardenings. Both harnesses green: 122 pure + 36 DOM.",9
2026-06-17,5,broad,reflect,1,1,0,0.92,Parallel Source-of-Truth Drift,"Cycle 5 (audit-opened broad-scan; numbered 5 — a parallel session had claimed Cycle 4 for a non-audit operator-feedback+T4 batch, kept distinct to avoid a duplicate cycle row). Fresh full-codebase scan of the now-mature base found NO Critical/High again — one Medium + Lows. Production fix=1: M-1 (Medium, narrow trigger) adjustLeaveBalance_ gated only on the global enablePtoTracking flag, never the per-employee PtoEnabled column, so approving / manager-filing PTO for a PtoEnabled=FALSE contractor silently drove their balance negative — contradicting S15/INV-27; the existing ptoEnabled tests only checked display-hiding, never the no-deduct, which is how it lived undetected (added test_adjustLeaveBalance_perEmpDisabledNoOp). Features=3: #5 tag-trend analytics (getCallNotesTagTrends, INV-125), #4 KB review-due (kbGetReviewDue/kbMarkReviewed, INV-126), #3 coverage planner (getCoveragePlan, INV-127) — all manager-gated, read-only, PHI-free, pure Node-pinned cores. Defensive/structural=13: L-1 getMyMetrics endpoint cache (only rep-facing CDR read, was an uncached whole-roster scan), L-2 KB-AI spend-cap race (atomic reserve/reconcile, lock NOT held across the fetch), L-3 intake data-URL parse, L-11 metrics teamTotals null-guard, L-4 verifyDocSignature tampered flag, L-5 KB usage tz boundary, L-7/L-8/L-10 bounded CN reads (reuse readCallNoteRowsInRange_/column-bounded), L-9/L-12/L-13/N-2 regression-preventing comments. New failure modes=0: L-8 routes the rep date/search reads through the existing readCallNoteRowsInRange_, which scans the full date column to find first/last match then reads the inclusive block — correctness-preserving regardless of row order (the contiguity 'assumption' is efficiency-only). net=1 honest — a mostly feature+hardening cycle on a mature base with one real, narrow-trigger correctness fix. Axis-B lowest: Parallel Source-of-Truth Drift (M-1 = S15/INV-27 said one behavior, code did another). INV-128/129/130 proposed for the next verification pass. Pure harness 128->133 green; node --check clean; DOM harness unchanged (CI runs it). Operator deploy of the merged batch still pending.",13
2026-07-09,7,broad,reflect,14,14,0,0.51,Silent Degradation Posture,"Cycle 7: fresh broad scan (6-agent fan-out + personal verification of every Medium+ finding; ~40 findings: 0 Critical / 2 High / ~15 Medium / ~20 Low) -> ENTIRE backlog implemented in 8 turns, PR #118 merged. Fired-in-prod fixes (14): H-1 coaching overdue detection dead since ship (space-form CreatedAt vs T-only parseTimestampMs_ -> digest never nagged); M-1 submitPunch failure handler ReferenceError (pre-F3 names) swallowed every error toast; M-2 intake draft wiped by a post-teardown debounce fire; M-3/M-4 manager Recent-Activity rendered 12:00 AM + never showed ADJ reasons (the projects OWN gotcha classes unapplied to AuditLog cols 7/8); M-5 trimmed-vs-raw search guard discarded results on trailing whitespace; M-6 bulk Approve/Deny double-wired via .pending-btn overlap; M-7 Admin Sheets pane permanently blank after first visit; M-8 Team Notes sub-tab clobber race; M-11 unmatchedAgents structurally dead (roster filter ran before the diagnostic); M-16 Other-dept sends mailed externals an internal resolve CTA + perpetual SLA noise; L-7/L-15/L-20. New failure modes: 0 (M-9 close-refusal edge + M-15 future-key strip examined and documented, not counted). Class fixes: createPinnedSpreadsheet_ factory (tz+locale) + no-bare-create tripwire; cnTimestampString_ locale-coercion boundary; subformData whitelist restores INV-49/50 to server-enforced; admins-subset ENFORCED (M-10); KB draft leaks closed across AI cache/convert/training. Axis-B lowest: Silent Degradation Posture — both Highs and M-11 were detectors that could never fire, invisible to CI, health panels, and the field (twice a feature shipped whose core loop never ran). INV-141..148 proposed. Tests: pure 230->240, DOM 48->54, 6 source tripwires, M-1/M-2 bite-checked. Operator deploy pending (clasp push -f + New version + runAllTests()).",24
2026-07-10,8,broad,reflect,14,16,2,0.64,Test Coverage Quality,"Cycle 8: fresh broad scan (7-agent fan-out incl. a dedicated test-suite auditor + personal verification of the High + all 15 Mediums, all confirmed; ~47 findings: 0 Critical / 1 High / 15 Medium / ~31 Low) -> entire backlog minus 4 deliberate deferrals implemented across 4 batches on claude/broad-scan-0y5q6b. Fired-in-prod fixes (16): M-1 automated payroll export ran mid-final-day at 12pm IST so PH afternoon punches were missing from every biweekly .xlsx (High-impact, money-facing, silent); H-1 both load-error Retry buttons threw (the cycle-7 stranded-loader fix was dead on its only trigger path); M-5 multi-dept sends bypassed every DeptRequests v2 feature (joined ToDept vs whole-string matchers); M-7 What's-new rotator froze on a stale hover flag; M-8 History preset race; M-10 quick-chip filtered-History was a silent no-op; M-12 pinned compact pop-out paid ~5 RPCs/launch for CSS-hidden UI; ambient poller Log-only (refresh-restore killed the badge); CTA resolve token mailed to external recipients on mixed sends; contractor pending-card balance projections; Spanish Cc'd requests invisible; getWhatsNew full-KB-tab read per Dashboard load; coverage cross-tz rows read as wrong-day; Log-enter RPC doubling + stats re-counting from 0 every 60s; Q39a invisible to the PPD ring (100% with the engine answer blank); false Per-tz(v1) coverage copy. New failure modes: 2 Low, both deliberate fail-safe directions (M-11 one-morning brief/digest overlap during the install transition; CTA-split partial-send re-send path) — counted honestly. Capabilities: briefConfig config-coherence detector (6th liveness key); midnight-wrap self-undo made real end-to-end. Defining theme / class fix: TEST INTEGRITY — the recurring shipped-dead-read-green class lost its habitat: SUBMITTED_AT any-index scan, global CN.TIMESTAMP whitelist scan, reverse TIME_OFF_TYPES<=LEAVE_DEDUCTION_CLIENT mirror, behavioral test on archiveSheetRowsOlderThan_ (the nightly payroll mutator had only presence pins), _skipTest SKIP-not-PASS at 12 sites incl. the S1.1 tz tripwire now failing closed, 9 literal NUL bytes escaped (Code.js + script_kb.html were BINARY to grep — bit this cycle's own audit twice), paren-anchored harness extraction (live getQuiz prefix collision), DOM flushTimers rethrows. Axis-B lowest: Test Coverage Quality (presence-tripwires narrower than their invariants + PASS-masking). INV-154..156 proposed. Tests: pure 248->277, DOM 55->59 (the DOM suite caught + corrected one mid-batch regression before commit), editor suite +1 behavioral test + honest SKIPs. Operator deploy pending (clasp push -f + New version + re-run installAutomationTriggers once for the 6pm archive hour + runAllTests).",34
2026-07-21,9,broad,reflect,9,10,1,0.75,Parallel Source-of-Truth Drift,"Cycle 9: fresh 8-agent broad-scan + personal verification of the High + all 11 Mediums (0 Critical / 1 High / 11 Medium / ~36 Low, all confirmed, 0 retracted) -> ENTIRE ranked backlog implemented across 7 batches + 2 sync-docs passes on claude/broad-scan-5eoypm, PR #136 merged on CI green. Fired-in-prod fixes (10): H-1 'Coach on this' dead no-op since the Manage reorg (enterTool('training') vs key 'develop' -> silent return, INV-134 deep-link never fired); M-1 EVERY Day Edit save rewrote untouched LIVE punches into truncated ADJ- rows + spurious PunchEdit audit rows (HH:mm:ss no-op guard vs the HH:mm prefill, S7 violation, payroll/audit-facing); M-3 intake auto-log notes lost their intakeType chip + intake- tag since cycle-7's M-15 whitelist stripped them (client wrote keys the server silently dropped); M-4 Save & Compose wedged permanently on a structured {success:false} (missing teardown parity vs the throw path); M-5 external composer silently dropped note linkage for History/pinned notes; M-6 the Clock 'File N missing' strip was frozen ALL DAY (date-keyed cache, no SWR); L-5 the last raw FS.SUBMITTED_AT reads rendered Date blobs on the segregated coercing FORMS store; L-23 intake 'Open Call Notes' navigated under a still-open modal; L-29 Esc with the KB drawer open cleared the in-progress note; L-30 hover-open died after a PTO submit from a pinned popover. New failure modes: 1 Low fail-safe (L-18: a MANUAL non-installer sendManagerDailyBrief run now double-emails for that run -- trigger-existence check fails toward NOT-suppressing, strictly better than the silent-outage it replaced; L-4's future-time edge documented, NOT counted -- fires only on pre-corrupt data). Class fixes / the 3 durable tripwires: no-mail-inside-the-lock (M-7, 9 sends off the global ScriptLock incl. the '*' roster loop, emailFromCallNote allowlisted); payload-contract (client subformData keys ⊆ sanitizeCallNotePayload_ whitelist -- retires the M-3 drift class); registry-key net (enterTool/showView/refreshViewIfCurrent literals vs the live TOOLS registry + the M-9 [^}]*->[^{}]* fix -- retires the H-1 dead-key class). Also: fields-only empdoc completion hash (M-8, tamper-evidence parity); coachCanManagerSee_ finally tested (M-11); the parse-guard list auto-tracks index.html (M-10); the bounded-read family extended to the growth-class stores (getReferenceItem/getMySentForms/training tails/timesheet cap/getAdpSS_ memo). Axis-B lowest: Parallel Source-of-Truth Drift -- the High + the highest-value Medium (M-3) + both strategic tripwires were all client<->server / client<->registry seam drift. INV-155..158 proposed. Tests: pure 289->302, DOM 60->61, node --check +DevTools.js; 10 bite-checks. HOUSEKEEPING: .cycle/STATE.md carries 4 pre-existing NUL bytes (a cycle-8 KB-sentinel note) -> greps as binary, the same hazard flagged in cycle 8. Deployed: PR #136 merged to main (2dd68af); operator clasp push + New version + runAllTests (suite +2) pending.",37
2026-07-24,10,broad,reflect,33,34,1,0.76,Silent Degradation Posture,"Cycle 10: fresh 7-agent broad scan (0 Critical / 0 High / 11 Medium / ~35 Low, all Mediums confirmed, 0 retracted) -> ENTIRE backlog + operator-approved a11y/visual/observability/data-integrity batches (G-L) + 3 follow-ons implemented across 9 pushes; PR #138 merged (5e7ff2b). Fired-in-prod fixes (34): M-1 stale-window/direct-RPC punches appended duplicate+out-of-sequence rows (payroll-facing; the sheet doctor later confirmed pre-guard leftovers); M-2 Day Edit bounds in the wrong tz for offshore reps; M-3 pinned-tray staleness on every optimistic action; M-4 History edit-snapshot loss; M-6/M-8 same-view stale-range races; D1/D2a/D2b/E11 the error-reads-as-empty + error-cached-as-fresh class across dashboard/CN/KB (deterministic on any transient failure); D5 day-rollover in overnight manager tabs; D8 pop-out polluting umsLastView; E1 dead umsCallNotesLastDept default (fired every composer open); E4/E13 standalone-composer linkage + stale quiz checklist; C1 reconcile misdating hand-entered rows on the coercing locale; C11 punchTrend inflation; G/I a11y-visual defects incl. positive-tabindex hijack, no focus-visible ring, flag-training==review same green, dark-mode hardcoded chip hex, sub-AA --muted-2 (3.9:1), Role-A loader leak; H keyboard-blocked calendar (PTO filing), focus stranding after modal close, unsortable-by-keyboard tables, color-only dots; J error/empty conflation + public-form clarity; typed-signature: keyboard/motor/SR users were 100% blocked from signing (a11y Critical #3). New failure modes: 1 Low counted honestly (K-B user-lock: a cross-user FIRST-TOUCH tab-create race can drop one best-effort diagnostics row — strictly bounded, better than the punch-write queueing it replaced). Capabilities (5): Timesheet sheet doctor (duplicate collapse last-row-wins + report-only clock/lunch inversions, INV-159), manager shell health dot on the single-sourced automationProblems_ (INV-161), nightly in-project self-test trigger — the credential-free K-A alternative (INV-162), public-form progress cue, lunch-pair check. Defensive/structural (~38): C13 NUL-delimiter hashes w/ dual-verify (INV-160); C2/C4-C12 guards; ~15 new bite-checked tripwires incl. the WCAG-AA contrast pin, flag-stripe exact-token pin, MIRROR_INDEX (13 mirrors each naming a live guard — self-checking), first AUTO_COPY machine check, INV-01 finally-release structural scan; _withTestKb_ fixture isolation; 2 sync-docs passes (INV-155-162 folded). Axis-B lowest: Silent Degradation Posture — the largest fired class was failures rendered as empty/fresh states. PROCESS NOTES: the Edit-tool NUL-escape hazard bit Code.js (repaired via perl; write NUL escapes via perl/python only); a bite-check git-checkout restore wiped uncommitted work once (caught + re-applied pre-commit — stash, don't checkout, mid-batch). Tests: pure 302->319, DOM 61->65, editor ~284->~297, 10+ bite-checks. Operator deploy pending: clasp push -f + New version + re-run installAutomationTriggers() ONCE (new 1am self-test trigger) + runAllTests (first run creates TEST_KB_Fixture).",38
2026-07-24,11,broad,reflect,5,5,0,0.91,Test Coverage Quality,"Cycle 11 (the DUE seams audit): 8-agent fan-out + cross-cutting seams specialist; ~170 invariant checks vs live code -> ZERO substantive drift (cleanest audit in project history; 158 RPCs / 16 enum-header pairs / 16 triggers / 42 script properties all clean). 0 Critical / 0 High / 4 Medium / ~30 Low + a 10-finding static-render VISUAL audit (new harness, scratchpad). Fired-in-prod fixes (5): M-2 every full runAllTests permanently appended a fake EXTERNAL witness row to the LIVE AuditLog/compliance panel (example.invalid sweep key added); M-3 test_training_quizFlow wrote the LIVE Quizzes tab every run + no sweep (fixture-isolated + swept); V-1 compact pop-out horizontal overflow on every launch of the operator's pinned daily workflow (.app-shell>* min-width:0 — measured 822->480); V-5 icon-label gaps; V-7 sidebar id wrap. New failure modes: 0. Defensive/structural (28): M-1 dup-approve guard on updateTimeOffStatus (last creator of the H1 double-deduct signature — INV-94 extension); M-4 registry/DOM coverage lists now DERIVE from PARSE_GUARD_PARTIALS (retires the four-hand-copies class); 4 tripwire false-pass holes closed (balanced-brace payload extractor, SUBMITTED_AT line-whitelist, transitive no-mail region, double-quote registry literals — all bite-checked); 3 MIRROR_INDEX completions + CSRT behavioral pin; L-1..L-18 (details cap, Transfer header validation, range-cache honesty, time-off horizon, archive width preservation, etc.); V-6. Plus /sync-docs (~20 doc-drift fixes folded into INV-01/07/18/21/23/92/94/129/132/135/136/142). Axis-B lowest: Test Coverage Quality — 3 of 4 Mediums were the test suite polluting production data or under-covering itself; the audit found the CODE clean and the weight moved into the test layer. INV-163/164 proposed. Tests: pure 319->330, DOM 65, editor ~297->~299, node --check x3. Deploy pending: PR + clasp push -f + New version + runAllTests (also purges legacy EXTERNAL witness rows + TEST_ quiz orphans).",28
2026-07-27,12,broad,reflect,11,13,2,,Silent Degradation Posture,"Cycle 12: single-session broad scan (no agent fan-out) + an operator-requested VISUAL/UI-UX addendum that the code lens structurally could not reach. 0 Critical / 0 High / 5 Medium / 8 Low + 14 visual. ENTIRE backlog implemented across SIX batches (1: F1-F5 Mediums; A: V-1-V-3; B: F15/F9/F7/F6/F10; C: F14/F16/F18/F11/F3-sibling; D: F17/F12/V-14/V-5-V-7; E: V-4/V-8/V-9/V-10/V-11/V-12) on claude/broad-scan-it3br5 (4 pushes, no PR opened). Fired-in-prod fixes (13): F5 a swallowed per-rep Sheet read error rendered as a confident 0%% -> the Clock strip told reps to re-file work they had already filed (trigger = ONE transient Sheets error); V-1 color-mix(in oklch) interpolates hue on the POLAR arc, so --warning-deep resolved to hue 355 (RED) and --danger-deep to 330 across ~254 consumers -- Lunch Out painted destructive-red, and the SAME token was a different hue family per theme (the cycle-10 WCAG tripwire measures LUMINANCE, which a pure hue rotation leaves untouched -- outside every existing net); V-2 .ampm kept a theme token on the clock card's FIXED sky gradient at (0,3,0) vs the (0,2,0) white override -> 1.20-2.00:1 in dark mode, illegible AM/PM on a time-tracking app's live clock; V-3 a dead display:none rule (equal specificity, declared 474 lines earlier) let the Ctrl+Shift+Enter chip render and CLIP in the 480px pinned pop-out while CLAUDE.md asserted chips were hidden; V-4 durations broke mid-value; V-5 the sub-label's 2-line wrap pushed the whole sidebar nav down 11px on one tool (navigating MOVED the navigation); V-6 mobile 'Call Notes' wrap; V-7 2 of 7 tool labels + both user fields truncated at the SHIPPED 168px default; V-8 .btn-modal-ok was --ink on --ink, the app's only inverted button (25 call sites; near-black on the money-facing export in light, near-WHITE out-competing the real primary in dark); V-9 a FIXED height stretched the Reference landing ~535px of empty card; V-10 zero-hour sparkline bars at 1.10:1 (invisible -- 'day off' == 'no data'); V-11 the one manager table still hand-rolled, contradicting a documented decision; V-12 two near-identical pill rows ~400px apart, different numbers AND different behaviour. New failure modes: 2 Low, both fail-safe (F1 a needed-but-failed archive read now REFUSES the export rather than emitting a partial payroll .xlsx behind {success:true}; F11 an append at the cell limit is refused + rolled back rather than letting the blob reach the size where EVERY later write on that note throws). Defensive/structural (17): F14 ONE cnEnrolledSheetId_ predicate + a GLOBAL ban on raw column-L reads -- 11 of 21 hand-written copies tested RAW truthiness while 10 trimmed, so a whitespace-only cell made 9 manager aggregates silently omit a rep (and Storage Health report a false 'unreachable') while the rep's own panel correctly showed the enrollment splash; F9/F7 the gated + admin-exclusive sets are now DERIVED from Code.js source (INV-136's count had drifted 4x: 24->28->30->35); F17 4 missing MIRROR_INDEX mirrors got real guards; F11 bounded the two append-only SubformData arrays (the L-1 class in the LENGTH dimension); F18 pre-slice totals on the capped readers; F16 the LAST silently-blanking failure handler; F1 the archive gained its first reader anywhere; F2/F3/F3-sibling bounded a destructive audited payroll op + BOTH cold-archive movers (unbounded, they re-appended what a killed run had not deleted, duplicating payroll/PHI nightly); F12 dropped a whole-Timesheet read from inside the global lock; F15 a {running,startedAt} sentinel so the newest detector can detect its OWN timeout; F4 the INV-124 cohort filter; F6 test-cache leakage; F10 CI's 'always-on floor' now actually runs first; V-14 the harness fixture violated its own README rule (7 notes / 41 answered / 85%% -> every screenshot showed 'File 34 missing', data the server cannot produce). Axis-B lowest: Silent Degradation Posture -- again: the F5/F16/F18/F14 group is all 'a failure or a cap rendered as a confident, complete-looking answer'. PROCESS: the VISUAL lens scored +9 net vs batch C's -1 (all latent) -- the strongest case yet for adding a Visual & Accessibility dimension + a Stage-1.5 visual step to /broad-scan (still unimplemented). V-9's first attempt REGRESSED the reader (max-height on a grid CONTAINER does not constrain its row -- a long article grew the page to 13.7k px); caught by MEASURING, not reasoning. INV-165..172 proposed (cycle 11 claimed 163/164 in metrics but never wrote them to the library). Deferred by decision: V-13 (Metrics redesign), V-9's 2 column-balance instances, the F1 sibling readers, the /broad-scan process change. Tests: pure 330->356 (26 new, every pin bite-checked; 3 did NOT bite first try and were tightened), DOM 65->66, editor +2 smoke tests, node --check x3, visual 20/20 with 0 missing fixtures. Deploy pending: clasp push -f + New version + runAllTests.",17
